viajes,max_temperature_c,mean_temperature_c,min_temperature_c,max_dew_point_c,mean_dew_point_c,min_dew_point_c,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_cm,mean_sea_level_pressure_cm,min_sea_level_pressure_cm,max_visibility_km,mean_visibility_km,min_visibility_km,max_wind_Speed_kmh,mean_wind_speed_kmh,max_gust_speed_kmh,precipitation_cm,cloud_cover,wind_dir_degrees,Fog,Fog-Rain,Normal,Rain,Rain-Thunderstorm,date,business_day,holiday,year,month,weekday
482,17.7777777778,14.4444444444,10.5555555556,10.5555555556,8.88888888889,7.22222222222,83.0,72.0,60.0,76.5302,76.4286,76.3016,16.0934,16.0934,14.48406,20.92142,8.0467,16.0,0.0,3.0,269.0,0,0,1,0,0,2013-11-10,0,0,2013,11,6
986,16.6666666667,14.4444444444,12.2222222222,10.5555555556,9.44444444444,7.77777777778,83.0,72.0,60.0,76.6318,76.5302,76.4286,16.0934,14.48406,9.65604,19.31208,8.0467,15.0,0.0,7.0,76.0,0,0,1,0,0,2013-11-11,0,1,2013,11,0
1154,21.1111111111,17.7777777778,13.8888888889,11.6666666667,10.0,7.77777777778,77.0,62.0,47.0,76.8858,76.7842,76.6318,16.0934,16.0934,16.0934,28.96812,11.26538,22.0,0.0,4.0,312.0,0,0,1,0,0,2013-11-12,1,0,2013,11,1
1002,20.0,15.5555555556,11.1111111111,12.7777777778,10.5555555556,8.33333333333,93.0,77.0,60.0,76.835,76.6572,76.5048,16.0934,16.0934,14.48406,37.01482,12.87472,26.0,0.0,3.0,303.0,1,0,0,0,0,2013-11-13,1,0,2013,11,2
1115,16.1111111111,13.3333333333,10.5555555556,11.1111111111,9.44444444444,7.22222222222,96.0,84.0,71.0,76.5302,76.2762,75.946,16.0934,16.0934,12.87472,46.67086,20.92142,37.0,0.0,5.0,266.0,0,0,1,0,0,2013-11-14,1,0,2013,11,3
1131,18.3333333333,14.4444444444,10.0,7.77777777778,6.66666666667,5.0,83.0,66.0,48.0,75.9206,75.7428,75.5904,16.0934,16.0934,16.0934,56.3269,19.31208,40.0,0.0,1.0,268.0,0,0,1,0,0,2013-11-15,1,0,2013,11,4
474,16.6666666667,13.3333333333,9.44444444444,10.0,7.77777777778,5.55555555556,83.0,67.0,51.0,76.0476,75.8444,75.6666,16.0934,16.0934,16.0934,41.84284,22.53076,35.0,0.0,2.0,273.0,0,0,1,0,0,2013-11-16,0,0,2013,11,5
406,17.2222222222,13.3333333333,9.44444444444,9.44444444444,7.22222222222,5.55555555556,89.0,69.0,48.0,76.454,76.2762,76.0476,16.0934,16.0934,16.0934,20.92142,9.65604,16.0,0.0,4.0,245.0,0,0,1,0,0,2013-11-17,0,0,2013,11,6
1008,15.5555555556,11.6666666667,7.77777777778,7.77777777778,6.66666666667,4.44444444444,82.0,69.0,55.0,76.6064,76.5048,76.454,16.0934,16.0934,16.0934,24.1401,8.0467,18.0,0.0,5.0,199.0,0,0,1,0,0,2013-11-18,1,0,2013,11,0
750,16.1111111111,14.4444444444,12.2222222222,12.7777777778,10.0,7.22222222222,93.0,80.0,66.0,76.454,76.2762,76.073,16.0934,14.48406,9.65604,22.53076,11.26538,16.0,0.7112,7.0,131.0,0,0,0,1,0,2013-11-19,1,0,2013,11,1
